branch_junction_baseline;branch_junction_testimonium1;branch_junction_testimonium2;branch_junction_dataset
0xf15b6f6da04a9a0372d66b25801ef0728cd0837a640d6bb0a13c3782b9710422;0xf15b6f6da04a9a0372d66b25801ef0728cd0837a640d6bb0a13c3782b9710422;0xf15b6f6da04a9a0372d66b25801ef0728cd0837a640d6bb0a13c3782b9710422;0xf15b6f6da04a9a0372d66b25801ef0728cd0837a640d6bb0a13c3782b9710422
0x4afc5cb16ec31f386876f898dc59effab5a659810b3536e2f17b1b17cc97b19d;0x4afc5cb16ec31f386876f898dc59effab5a659810b3536e2f17b1b17cc97b19d;0x4afc5cb16ec31f386876f898dc59effab5a659810b3536e2f17b1b17cc97b19d;0x4afc5cb16ec31f386876f898dc59effab5a659810b3536e2f17b1b17cc97b19d
0x9ec9c4fa0038274917498c471ee571dddca783b920d4e6dd5268b0504ef43bbb;0x9ec9c4fa0038274917498c471ee571dddca783b920d4e6dd5268b0504ef43bbb;0x9ec9c4fa0038274917498c471ee571dddca783b920d4e6dd5268b0504ef43bbb;0x9ec9c4fa0038274917498c471ee571dddca783b920d4e6dd5268b0504ef43bbb
0x2f0fc70b88bf065f196d5c1639a164a147d0030ca3206e01bfb0494887372d1f;0x2f0fc70b88bf065f196d5c1639a164a147d0030ca3206e01bfb0494887372d1f;0x2f0fc70b88bf065f196d5c1639a164a147d0030ca3206e01bfb0494887372d1f;0x2f0fc70b88bf065f196d5c1639a164a147d0030ca3206e01bfb0494887372d1f
0xecd4cf724b0e884c43e9bd629f8f9ff688c68cc2b1dada95a3b86cf485244ad7;0xecd4cf724b0e884c43e9bd629f8f9ff688c68cc2b1dada95a3b86cf485244ad7;0xecd4cf724b0e884c43e9bd629f8f9ff688c68cc2b1dada95a3b86cf485244ad7;0xecd4cf724b0e884c43e9bd629f8f9ff688c68cc2b1dada95a3b86cf485244ad7
0x9733d17c946e29ec8f0bee2cbc4fdeb3b8c2d969624da58ba1d1df71c9eb6e20;0x9733d17c946e29ec8f0bee2cbc4fdeb3b8c2d969624da58ba1d1df71c9eb6e20;0x9733d17c946e29ec8f0bee2cbc4fdeb3b8c2d969624da58ba1d1df71c9eb6e20;0x9733d17c946e29ec8f0bee2cbc4fdeb3b8c2d969624da58ba1d1df71c9eb6e20
0x08956e8f3978db74d8563e6ed59e7f20980e54fd35fbf886651777958e838be7;0x08956e8f3978db74d8563e6ed59e7f20980e54fd35fbf886651777958e838be7;0x08956e8f3978db74d8563e6ed59e7f20980e54fd35fbf886651777958e838be7;0x08956e8f3978db74d8563e6ed59e7f20980e54fd35fbf886651777958e838be7
0x30fb5e11b0855a3b6a87d6bdb3007092dc3cb4f4d00780d3572d45817180c3bd;0x30fb5e11b0855a3b6a87d6bdb3007092dc3cb4f4d00780d3572d45817180c3bd;0x30fb5e11b0855a3b6a87d6bdb3007092dc3cb4f4d00780d3572d45817180c3bd;0x30fb5e11b0855a3b6a87d6bdb3007092dc3cb4f4d00780d3572d45817180c3bd
0x043afe47c0103ae179fe2c8ac5061a401a2e40d3753338cea33ea1951a75a283;0x043afe47c0103ae179fe2c8ac5061a401a2e40d3753338cea33ea1951a75a283;0x043afe47c0103ae179fe2c8ac5061a401a2e40d3753338cea33ea1951a75a283;0x043afe47c0103ae179fe2c8ac5061a401a2e40d3753338cea33ea1951a75a283
0xe201c91521e1c2636d9b236dcc699fcd98e92e40ccaf97467eba5662e8f003ad;0xe201c91521e1c2636d9b236dcc699fcd98e92e40ccaf97467eba5662e8f003ad;0xe201c91521e1c2636d9b236dcc699fcd98e92e40ccaf97467eba5662e8f003ad;0xe201c91521e1c2636d9b236dcc699fcd98e92e40ccaf97467eba5662e8f003ad
0xb7f57827cb9b1540797b1f7c1c29c73660970ec2ccf76e777d5dd6c1edf5272b;0xb7f57827cb9b1540797b1f7c1c29c73660970ec2ccf76e777d5dd6c1edf5272b;0xb7f57827cb9b1540797b1f7c1c29c73660970ec2ccf76e777d5dd6c1edf5272b;0xb7f57827cb9b1540797b1f7c1c29c73660970ec2ccf76e777d5dd6c1edf5272b
0x63171e83907ef68b3305d18cbcc9e56eedc0a93011531ff09f10f0285f4a1c1b;0x63171e83907ef68b3305d18cbcc9e56eedc0a93011531ff09f10f0285f4a1c1b;0x63171e83907ef68b3305d18cbcc9e56eedc0a93011531ff09f10f0285f4a1c1b;0x63171e83907ef68b3305d18cbcc9e56eedc0a93011531ff09f10f0285f4a1c1b
0x84f24c851fa657026211ef8b58b845ceee7ce5bc6ffdc55e6e8dedad7f44fcd6;0x84f24c851fa657026211ef8b58b845ceee7ce5bc6ffdc55e6e8dedad7f44fcd6;0x84f24c851fa657026211ef8b58b845ceee7ce5bc6ffdc55e6e8dedad7f44fcd6;0x84f24c851fa657026211ef8b58b845ceee7ce5bc6ffdc55e6e8dedad7f44fcd6
0xee7178b88f03d31c20f3b27c942b1f94a0e99d91cb6b756f9d7090e8bfcc7e20;0xee7178b88f03d31c20f3b27c942b1f94a0e99d91cb6b756f9d7090e8bfcc7e20;0xee7178b88f03d31c20f3b27c942b1f94a0e99d91cb6b756f9d7090e8bfcc7e20;0xee7178b88f03d31c20f3b27c942b1f94a0e99d91cb6b756f9d7090e8bfcc7e20
0x190272b764c0270e1ad1eb7b089f015a52789057cf334207c66f60ea4c8969d1;0x190272b764c0270e1ad1eb7b089f015a52789057cf334207c66f60ea4c8969d1;0x190272b764c0270e1ad1eb7b089f015a52789057cf334207c66f60ea4c8969d1;0x190272b764c0270e1ad1eb7b089f015a52789057cf334207c66f60ea4c8969d1
0x23373db0f185559749a41955efeeead3ba90dfaf94e0b4d8761e992fab326e0c;0x23373db0f185559749a41955efeeead3ba90dfaf94e0b4d8761e992fab326e0c;0x23373db0f185559749a41955efeeead3ba90dfaf94e0b4d8761e992fab326e0c;0x23373db0f185559749a41955efeeead3ba90dfaf94e0b4d8761e992fab326e0c
0x6fa00f1bf88a05d8f1f1a233feaa86e60a027f1673eb857bda73bc03b62722fb;0x6fa00f1bf88a05d8f1f1a233feaa86e60a027f1673eb857bda73bc03b62722fb;0x6fa00f1bf88a05d8f1f1a233feaa86e60a027f1673eb857bda73bc03b62722fb;0x6fa00f1bf88a05d8f1f1a233feaa86e60a027f1673eb857bda73bc03b62722fb
0xe1e32608c8ff2a5c9c3712419d53b02c375891cb77aafa57837f4cc072c962ac;0xe1e32608c8ff2a5c9c3712419d53b02c375891cb77aafa57837f4cc072c962ac;0xe1e32608c8ff2a5c9c3712419d53b02c375891cb77aafa57837f4cc072c962ac;0xe1e32608c8ff2a5c9c3712419d53b02c375891cb77aafa57837f4cc072c962ac
